node,hyperedge
1,0
7051,0
3739,0
1,1
3739,1
6448,1
1,2
3739,2
6716,2
1,3
6448,3
4406,3
1,4
1883,4
1376,4
1,5
1883,5
259,5
1,6
1883,6
3241,6
1,7
1883,7
887,7
1,8
1883,8
5468,8
5,9
3401,9
5269,9
11,10
2677,10
6536,10
11,11
2677,11
4291,11
13,12
888,12
3418,12
13,13
888,13
23,13
13,14
6553,14
3418,14
13,15
6553,15
1615,15
13,16
6553,16
23,16
13,17
3322,17
1615,17
14,18
4486,18
2481,18
3706,18
14,19
4486,19
2779,19
14,20
3815,20
2481,20
15,21
3401,21
343,21
16,22
2444,22
1752,22
6079,22
17,23
2304,23
237,23
19,24
2819,24
365,24
5358,24
3731,24
19,25
2819,25
365,25
5358,25
3325,25
19,26
6682,26
5146,26
20,27
4482,27
6299,27
20,28
4482,28
2580,28
21,29
1414,29
4700,29
710,29
23,30
3845,30
4230,30
2345,30
700,30
23,31
3845,31
4230,31
2218,31
23,32
3462,32
3243,32
2872,32
6168,32
877,32
23,33
3462,33
2557,33
23,34
4115,34
737,34
23,35
1175,35
506,35
2872,35
6168,35
877,35
23,36
1175,36
932,36
6941,36
6121,36
2872,36
6168,36
877,36
23,37
1175,37
932,37
6941,37
3237,37
23,38
6168,38
3243,38
877,38
2872,38
506,38
23,39
6168,39
3243,39
877,39
2872,39
932,39
6941,39
6121,39
23,40
6168,40
3243,40
877,40
2872,40
932,40
6941,40
1567,40
23,41
5530,41
2002,41
23,42
2590,42
2002,42
23,43
2590,43
1846,43
23,44
1567,44
3243,44
877,44
2872,44
2002,44
23,45
2218,45
4230,45
2275,45
6459,45
23,46
2218,46
4230,46
2275,46
932,46
23,47
2218,47
4230,47
5973,47
737,47
23,48
2218,48
4230,48
5973,48
6459,48
23,49
2218,49
4230,49
5973,49
932,49
23,50
5556,50
219,50
23,51
5556,51
30,51
23,52
5451,52
2275,52
5554,52
6553,52
23,53
5451,53
2275,53
5554,53
932,53
3243,53
6941,53
23,54
5451,54
