node,hyperedge
3,0
514,0
203,0
3,1
2,1
3665,1
3,2
2,2
2567,2
3,3
2,3
367,3
3,4
2054,4
1040,4
3,5
2054,5
601,5
3,6
2054,6
3103,6
3,7
3592,7
2342,7
3,8
11,8
3482,8
3,9
11,9
203,9
3,10
4114,10
3651,10
3,11
4120,11
268,11
1510,11
3,12
4120,12
886,12
3,13
3103,13
203,13
3,14
2599,14
1465,14
3,15
2599,15
3651,15
3,16
1087,16
203,16
3,17
2114,17
3440,17
3,18
1604,18
3440,18
203,18
3,19
1094,19
886,19
3,20
2119,20
816,20
3651,20
3,21
2119,21
3817,21
3,22
4173,22
203,22
3,23
2135,23
1520,23
2750,23
3294,23
3,24
2655,24
2812,24
3,25
3692,25
662,25
3,26
2679,26
2750,26
3,27
2167,27
3651,27
3,28
123,28
203,28
3,29
4233,29
816,29
3,30
1678,30
3440,30
3,31
4241,31
3882,31
3,32
4241,32
268,32
3,33
4241,33
3294,33
3,34
1684,34
3440,34
3,35
171,35
2248,35
3,36
3759,36
3482,36
3,37
2735,37
1510,37
3,38
1199,38
3294,38
2750,38
3,39
3250,39
3440,39
203,39
3,40
1721,40
2750,40
3,41
2235,41
3651,41
3,42
3779,42
203,42
3,43
4293,43
1520,43
3,44
2248,44
1510,44
3,45
3784,45
203,45
3294,45
3,46
2250,46
3482,46
3,47
2250,47
403,47
3,48
203,48
424,48
3,49
203,49
814,49
3,50
203,50
367,50
3,51
203,51
3440,51
3475,51
3,52
203,52
3313,52
3679,52
3,53
203,53
3475,53
886,53
3,54
203,54
2932,54
3,55
203,55
822,55
3,56
203,56
409,56
3,57
203,57
3294,57
886,57
2750,57
3,58
203,58
3294,58
3679,58
2342,58
3,59
203,59
3294,59
3679,59
442,59
3,60
203,60
3294,60
3679,60
2750,60
3,61
203,61
4351,61
3,62
3306,62
3651,62
3,63
246,63
403,63
3,64
2812,64
3294,64
2750,64
3,65
2826,65
2111,65
3,66
268,66
3651,66
816,66
3,67
3882,67
1510,67
3,68
1326,68
1537,68
3,69
1326,69
3651,69
4285,69
3,70
1326,70
3651,70
886,70
3,71
1326,71
1732,71
3,72
1326,72
934,72
3294,72
2750,72
3,73
1326,73
2342,73
3294,73
3679,73
3,74
1326,74
3817,74
3,75
1326,75
106,75
3,76
1326,76
2059,76
3,77
1326,77
716,77
3,78
1326,78
746,78
3,79
1326,79
1520,79
3294,79
2750,79
3,80
1326,80
3665,80
3,81
1326,81
2995,81
3,82
1326,82
1651,82
3294,82
3,83
1326,83
1333,83
3,84
1326,84
4026,84
770,84
4285,84
2286,84
3,85
1326,85
4026,85
4361,85
3,86
1326,86
4026,86
886,86
2750,86
3294,86
3,87
1326,87
4026,87
4285,87
1424,87
3,88
1326,88
4026,88
4285,88
2750,88
3,89
1326,89
4026,89
3679,89
1424,89
3,90
1326,90
4026,90
3679,90
3294,90
2750,90
3,91
1326,91
4026,91
3679,91
1286,91
3,92
1326,92
4026,92
3679,92
2111,92
3,93
815,93
1510,93
3,94
1840,94
3651,94
3,95
3376,95
403,95
3,96
307,96
367,96
3,97
3913,97
3294,97
3,98
2403,98
3440,98
3,99
366,99
3294,99
3,100
367,100
1510,100
3,101
3440,101
2961,101
3,102
3440,102
746,102
3,103
3440,103
1395,103
3,104
3440,104
716,104
3,105
2940,105
3651,105
3,106
2940,106
3294,106
3,107
403,107
3517,107
3,108
403,108
934,108
3,109
3475,109
886,109
1465,109
3,110
3475,110
886,110
3651,110
3,111
3482,111
4075,111
3,112
2462,112
2750,112
3,113
2974,113
3294,113
3,114
3499,114
3294,114
3,115
3517,115
3294,115
3,116
1478,116
3651,116
3,117
1478,117
2030,117
3,118
1506,118
3665,118
3,119
2537,119
1520,119
2750,119
3294,119
3,120
1513,120
2342,120
3,121
1524,121
3294,121
4,122
475,122
1122,122
1403,122
4,123
475,123
117,123
1403,123
4,124
475,124
117,124
2116,124
918,124
3339,124
4,125
475,125
117,125
2116,125
918,125
1955,125
4302,125
4,126
1831,126
1122,126
1403,126
6,127
1,127
2589,127
6,128
1032,128
2464,128
2472,128
1197,128
6,129
1032,129
2464,129
3849,129
6,130
4120,130
223,130
6,131
2589,131
2768,131
6,132
2589,132
1197,132
3983,132
2472,132
6,133
2589,133
1197,133
3983,133
3326,133
6,134
36,134
4224,134
6,135
36,135
3684,135
3410,135
2243,135
6,136
36,136
3684,136
2315,136
6,137
36,137
3684,137
3983,137
6,138
36,138
261,138
6,139
36,139
1190,139
6,140
36,140
1958,140
2512,140
6,141
36,141
3849,141
2512,141
6,142
36,142
3849,142
373,142
6,143
36,143
1197,143
3983,143
6,144
36,144
1197,144
1295,144
6,145
36,145
1197,145
373,145
6,146
36,146
1197,146
3055,146
6,147
36,147
1295,147
2243,147
6,148
36,148
2896,148
6,149
36,149
2512,149
2315,149
6,150
36,150
2903,150
6,151
3112,151
2504,151
6,152
3112,152
730,152
6,153
3112,153
1830,153
6,154
2092,154
2464,154
6,155
1070,155
470,155
6,156
1070,156
3007,156
6,157
2610,157
2315,157
6,158
3644,158
4209,158
6,159
1093,159
2243,159
6,160
1612,160
2896,160
6,161
589,161
2364,161
373,161
6,162
640,162
3410,162
6,163
653,163
2464,163
6,164
1682,164
2472,164
6,165
2201,165
2233,165
6,166
2201,166
2965,166
6,167
3743,167
2001,167
6,168
3743,168
2243,168
6,169
3743,169
2965,169
6,170
3743,170
3326,170
6,171
3744,171
1197,171
3055,171
6,172
1199,172
1197,172
6,173
2746,173
2965,173
6,174
4283,174
1405,174
6,175
3270,175
4033,175
450,175
6,176
2768,176
2826,176
6,177
217,177
2504,177
6,178
217,178
3684,178
3983,178
6,179
223,179
499,179
6,180
1249,180
2965,180
6,181
2801,181
3410,181
2243,181
6,182
3326,182
499,182
6,183
3326,183
1197,183
2504,183
6,184
3326,184
1830,184
6,185
3326,185
3007,185
6,186
3349,186
2001,186
6,187
3349,187
2315,187
6,188
2846,188
1197,188
6,189
1824,189
2464,189
2472,189
1197,189
6,190
3887,190
2243,190
6,191
316,191
1197,191
6,192
2364,192
2001,192
6,193
2364,193
2243,193
6,194
2429,194
2512,194
6,195
2429,195
4066,195
6,196
2429,196
2243,196
6,197
2965,197
3684,197
3410,197
6,198
2965,198
3684,198
2315,198
6,199
2965,199
3684,199
3983,199
6,200
2464,200
2512,200
3849,200
6,201
2464,201
1520,201
6,202
2464,202
373,202
2472,202
1197,202
6,203
2464,203
373,203
3849,203
6,204
1444,204
2243,204
6,205
2472,205
1197,205
3055,205
6,206
3004,206
2243,206
6,207
455,207
1190,207
6,208
2026,208
3684,208
6,209
1520,209
2243,209
12,210
2824,210
2457,210
12,211
1749,211
1758,211
13,212
2979,212
2808,212
1749,212
1758,212
13,213
2979,213
1366,213
14,214
3906,214
3057,214
14,215
304,215
3057,215
3349,215
14,216
304,216
3057,216
1855,216
550,216
1487,216
14,217
304,217
4090,217
14,218
304,218
51,218
14,219
1309,219
3057,219
3349,219
14,220
1309,220
3057,220
550,220
1855,220
16,221
912,221
2429,221
17,222
1916,222
834,222
17,223
1916,223
342,223
18,224
3446,224
2458,224
21,225
2692,225
342,225
21,226
3205,226
2000,226
21,227
3205,227
2854,227
21,228
4107,228
568,228
21,229
4107,229
2854,229
21,230
4107,230
646,230
21,231
4107,231
598,231
21,232
3347,232
2854,232
21,233
469,233
568,233
21,234
469,234
342,234
21,235
469,235
646,235
21,236
469,236
598,236
23,237
2371,237
2394,237
23,238
3282,238
2615,238
24,239
686,239
251,239
24,240
1456,240
3801,240
27,241
912,241
2614,241
28,242
2956,242
1901,242
1709,242
4302,242
34,243
732,243
568,243
34,244
1165,244
1680,244
34,245
2574,245
1276,245
34,246
1916,246
568,246
34,247
1916,247
1276,247
35,248
646,248
1916,248
35,249
646,249
2457,249
35,250
646,250
3972,250
4313,250
35,251
646,251
3348,251
35,252
2824,252
2457,252
35,253
297,253
57,253
3294,253
35,254
2510,254
3294,254
35,255
755,255
1725,255
35,256
598,256
3972,256
35,257
598,257
1916,257
35,258
598,258
3294,258
35,259
1725,259
1916,259
35,260
1725,260
3294,260
36,261
128,261
1137,261
36,262
128,262
2371,262
36,263
2562,263
1137,263
36,264
2562,264
2514,264
1197,264
36,265
2562,265
2371,265
36,266
1797,266
2243,266
36,267
1550,267
1880,267
36,268
1550,268
2963,268
2243,268
813,268
36,269
1550,269
2963,269
319,269
36,270
1550,270
3684,270
297,270
36,271
1550,271
3684,271
2315,271
319,271
36,272
1550,272
3684,272
2243,272
36,273
2963,273
4285,273
2243,273
813,273
36,274
1558,274
1137,274
36,275
1558,275
2371,275
36,276
1558,276
2797,276
36,277
4249,277
323,277
36,278
1309,278
2243,278
36,279
4001,279
2243,279
36,280
4001,280
261,280
36,281
3368,281
2243,281
36,282
297,282
2896,282
36,283
297,283
4202,283
36,284
813,284
2243,284
3549,284
36,285
813,285
2243,285
1295,285
36,286
813,286
2903,286
36,287
3124,287
4224,287
36,288
4285,288
323,288
36,289
4285,289
2243,289
3410,289
36,290
319,290
3684,290
2535,290
36,291
319,291
1478,291
2535,291
36,292
2371,292
3684,292
2315,292
36,293
2371,293
3684,293
3983,293
36,294
2371,294
261,294
36,295
2371,295
1478,295
36,296
2371,296
1958,296
2512,296
36,297
2371,297
1190,297
36,298
2371,298
2512,298
2315,298
36,299
323,299
2896,299
36,300
323,300
1295,300
36,301
323,301
2512,301
36,302
2514,302
373,302
1197,302
36,303
1880,303
2896,303
36,304
2010,304
3849,304
36,305
2396,305
3410,305
2243,305
36,306
2396,306
732,306
36,307
732,307
261,307
36,308
1120,308
1137,308
36,309
1120,309
2797,309
36,310
2535,310
3410,310
3684,310
36,311
2797,311
1190,311
36,312
1137,312
1190,312
36,313
1137,313
261,313
36,314
1137,314
1958,314
37,315
1768,315
2073,315
37,316
1768,316
2115,316
4029,316
37,317
1768,317
1749,317
37,318
331,318
2115,318
37,319
1100,319
2073,319
38,320
3011,320
1033,320
1204,320
38,321
904,321
912,321
38,322
2546,322
2007,322
38,323
1300,323
912,323
38,324
1300,324
240,324
1798,324
40,325
4239,325
1585,325
2525,325
3580,325
40,326
4239,326
1585,326
2525,326
2132,326
42,327
646,327
2425,327
210,327
3348,327
42,328
646,328
2054,328
43,329
3948,329
1683,329
43,330
3948,330
1829,330
44,331
3482,331
348,331
45,332
4096,332
3625,332
3952,332
832,332
45,333
4096,333
3625,333
3952,333
1233,333
1352,333
45,334
4096,334
3625,334
239,334
832,334
45,335
4096,335
3625,335
239,335
1233,335
45,336
257,336
2626,336
993,336
45,337
257,337
1352,337
993,337
45,338
257,338
1352,338
3625,338
1233,338
45,339
257,339
1352,339
3625,339
1298,339
45,340
257,340
2612,340
45,341
