node,hyperedge
0,0
1161,0
2130,0
1667,0
0,1
1161,1
2130,1
1991,1
0,2
1161,2
2156,2
1,3
1911,3
2057,3
1843,3
1603,3
50,3
1,4
1911,4
2057,4
1843,4
1603,4
1924,4
2138,4
1,5
1911,5
2057,5
1843,5
1847,5
50,5
1256,5
1,6
1911,6
2057,6
1843,6
1847,6
50,6
105,6
1,7
1911,7
2057,7
1843,7
1847,7
50,7
721,7
1,8
1911,8
2057,8
1843,8
1847,8
50,8
411,8
1,9
1911,9
2057,9
1843,9
1847,9
50,9
447,9
1,10
1911,10
2057,10
1843,10
1847,10
2138,10
1924,10
1,11
1911,11
2057,11
1843,11
1847,11
2138,11
1256,11
1,12
1911,12
2057,12
1843,12
1847,12
2138,12
105,12
1,13
1911,13
2057,13
1843,13
1847,13
2138,13
721,13
1,14
1911,14
2057,14
1843,14
1847,14
2138,14
411,14
1,15
1911,15
2057,15
1843,15
1847,15
2138,15
447,15
1,16
1911,16
2226,16
1603,16
555,16
1901,16
1843,16
50,16
1,17
1911,17
2226,17
1603,17
555,17
1901,17
1843,17
2084,17
1225,17
1803,17
1905,17
1720,17
2138,17
1924,17
1,18
1911,18
2226,18
1603,18
555,18
1901,18
1843,18
2084,18
1225,18
1803,18
1905,18
1720,18
2138,18
1661,18
1,19
1911,19
2226,19
1847,19
1225,19
1905,19
1803,19
2138,19
80,19
1901,19
1843,19
2084,19
1720,19
1924,19
1,20
1911,20
2226,20
1847,20
1225,20
1905,20
1803,20
2138,20
80,20
1901,20
1843,20
2084,20
1720,20
1661,20
1,21
1911,21
2226,21
1847,21
1225,21
1905,21
1803,21
2138,21
80,21
1901,21
1843,21
1759,21
1661,21
1,22
1911,22
2226,22
1847,22
1225,22
1905,22
1803,22
2138,22
281,22
1901,22
1843,22
2084,22
1720,22
1924,22
1,23
1911,23
2226,23
1847,23
1225,23
1905,23
1803,23
2138,23
281,23
1901,23
1843,23
2084,23
1720,23
1661,23
1,24
1911,24
2226,24
1847,24
1225,24
1905,24
1803,24
2138,24
281,24
1901,24
1843,24
1759,24
1661,24
1,25
1911,25
2226,25
1847,25
1225,25
1905,25
1803,25
2138,25
555,25
1457,25
1901,25
1720,25
1179,25
1661,25
1,26
1911,26
2226,26
1847,26
1225,26
1905,26
1803,26
2138,26
555,26
1457,26
1901,26
1720,26
1924,26
1,27
1911,27
2226,27
1847,27
1225,27
1905,27
1803,27
2138,27
555,27
1457,27
1901,27
1759,27
1661,27
1,28
1911,28
2226,28
1847,28
1225,28
1905,28
1803,28
2138,28
555,28
1843,28
1720,28
1924,28
568,28
2084,28
1,29
1911,29
2226,29
1847,29
1225,29
1905,29
1803,29
2138,29
555,29
1843,29
1720,29
1924,29
1514,29
2084,29
1,30
1911,30
2226,30
1847,30
1225,30
1905,30
1803,30
2138,30
555,30
1843,30
1720,30
1924,30
1901,30
1507,30
1,31
1911,31
2226,31
1847,31
1225,31
1905,31
1803,31
2138,31
555,31
1843,31
1720,31
1924,31
1901,31
2084,31
1,32
1911,32
2226,32
1847,32
1225,32
1905,32
1803,32
2138,32
555,32
1843,32
1720,32
1924,32
1901,32
518,32
1,33
1911,33
2226,33
1847,33
1225,33
1905,33
1803,33
2138,33
555,33
1843,33
1720,33
1924,33
1901,33
2055,33
1,34
1911,34
2226,34
1847,34
1225,34
1905,34
1803,34
2138,34
555,34
1843,34
1720,34
1924,34
1901,34
780,34
1,35
1911,35
2226,35
1847,35
1225,35
1905,35
1803,35
2138,35
555,35
1843,35
1720,35
1924,35
1901,35
152,35
1,36
1911,36
2226,36
1847,36
1225,36
1905,36
1803,36
2138,36
555,36
1843,36
1720,36
1924,36
1901,36
436,36
1,37
1911,37
2226,37
1847,37
1225,37
1905,37
1803,37
2138,37
555,37
1843,37
1720,37
1924,37
1901,37
888,37
1,38
1911,38
2226,38
1847,38
1225,38
1905,38
1803,38
2138,38
555,38
1843,38
1720,38
1924,38
1901,38
957,38
1,39
1911,39
2226,39
1847,39
1225,39
1905,39
1803,39
2138,39
555,39
1843,39
1720,39
1924,39
1078,39
2084,39
1,40
1911,40
2226,40
1847,40
1225,40
1905,40
1803,40
2138,40
555,40
1843,40
1720,40
1924,40
1272,40
2084,40
1,41
1911,41
2226,41
1847,41
1225,41
1905,41
1803,41
2138,41
555,41
1843,41
1720,41
1661,41
568,41
1179,41
1,42
1911,42
2226,42
1847,42
1225,42
1905,42
1803,42
2138,42
555,42
1843,42
1720,42
1661,42
568,42
2084,42
1,43
1911,43
2226,43
1847,43
1225,43
1905,43
1803,43
2138,43
555,43
1843,43
1720,43
1661,43
1514,43
1179,43
1,44
1911,44
2226,44
1847,44
1225,44
1905,44
1803,44
2138,44
555,44
1843,44
1720,44
1661,44
1514,44
2084,44
1,45
1911,45
2226,45
1847,45
1225,45
1905,45
1803,45
2138,45
555,45
1843,45
1720,45
1661,45
1901,45
1507,45
1,46
1911,46
2226,46
1847,46
1225,46
1905,46
1803,46
2138,46
555,46
1843,46
1720,46
1661,46
1901,46
2084,46
1,47
1911,47
2226,47
1847,47
1225,47
1905,47
1803,47
2138,47
555,47
1843,47
1720,47
1661,47
